objectid,parentid,date,date-is-approximate?,filename,title,description,creator,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,record_creator,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
bfm-001,,"January 11, 1979",,jet1979-january11.jpg,Star Guide Predicts What's Ahead In '79 For The Superstars ,,JET Magazine,"Black print magazine,","Atlanta,GA",33.74880452,-84.3843379,The Stephens Family Archives,,Image;StillImage,image/jpeg,"
en",,,SK,image,/objects/jet1979-january11.jpg,/objects/small/,/objects/thumbs/,Scan of a color cover ,
bfm-002,,"February 15, 1979",,jet1979-february15.jpg,Sex And Religion Keep Tina Turner Famous and Humble,,JET Magazine,"Black print magazine,","Atlanta,GA",33.74880452,-84.3843379,The Stephens Family Archives,,Image;StillImage,image/jpeg,en,,,SK,image,/objects/jet1979-february15.jpg,/objects/small/,/objects/thumbs/,Scan of a color cover ,
bfm-003,,"February 22,1979",,jet1979-february22.jpg,"She's Lawyer By Day, Voodoo Dancer By Night ",,JET Magazine,"Black print magazine,","Atlanta,GA",33.74880452,-84.3843379,The Stephens Family Archives,,Image;StillImage,image/jpeg,en,,,SK,image,/objects/jet1979-february22.jpg,/objects/small/,/objects/thumbs/,Scan of a color cover,
bfm-004,,"March1, 1979",,jet1979-march1.jpg,Cosby And Pryor  Angry Over Tar Baby Criticisms ,,JET Magazine,"Black print magazine,","Atlanta,GA",33.74880452,-84.3843379,The Stephens Family Archives,,Image;StillImage,image/jpeg,en,,,SK,image,/objects/jet1979-march1.jpg,/objects/small/,/objects/thumbs/,Scan of a color cover,
bfm-005,,"March 15, 1979",,jet1979-march15.jpg,Stars Hobby; Nancy Wilson Rebuilds Cars ,,JET Magazine,"Black print magazine,","Atlanta,GA",33.74880452,-84.3843379,The Stephens Family Archives,,Image;StillImage,image/jpeg,en,,,SK,image,/objects/jet1979-march15.jpg,/objects/small/,/objects/thumbs/,Scan of a color cover,
bfm-006,,"March 22, 1979",,jet1979-march22.jpg,Famous Names That FailedTo Succeed In Business Ventures ,,JET Magazine,"Black print magazine,","Atlanta,GA",33.74880452,-84.3843379,The Stephens Family Archives,,Image;StillImage,image/jpeg,en,,,SK,image,/objects/jet1979-march22.jpg,/objects/small/,/objects/thumbs/,Scan of a color cover,
bfm-007,,"April 5, 1979",,jet1979-april5.jpg,Is The Future Vanishing For Black Film Stars? ,,JET Magazine,"Black print magazine,","Atlanta,GA",33.74880452,-84.3843379,The Stephens Family Archives,,Image;StillImage,image/jpeg,en,,,SK,image,/objects/jet1979-april5.jpg,/objects/small/,/objects/thumbs/,Scan of a color cover,
bfm-008,,"April 12, 1979",,jet1979-april12.jpg,The Alabama Town Ruled By Black Power,,JET Magazine,"Black print magazine,","Atlanta,GA",33.74880452,-84.3843379,The Stephens Family Archives,,Image;StillImage,image/jpeg,en,,,SK,image,/objects/jet1979-april12.jpg,/objects/small/,/objects/thumbs/,Scan of a color cover,
bfm-009,,"April 26, 1979",,jet1979-april26.jpg,"Belafonte Sours On Films Disco, Music, TV, Racism, Backsliding Blacks ",,JET Magazine,"Black print magazine,","Atlanta,GA",33.74880452,-84.3843379,The Stephens Family Archives,,Image;StillImage,image/jpeg,en,,,SK,image,/objects/jet1979-april26.jpg,/objects/small/,/objects/thumbs/,Scan of a color cover,
bfm-010,,"May 3, 1979",,jet1979-may3.jpg,Hollywood Couple Won't Let Mixed Marriage Hurt Their Careers ,,JET Magazine,"Black print magazine,","Atlanta,GA",33.74880452,-84.3843379,The Stephens Family Archives,,Image;StillImage,image/jpeg,en,,,SK,image,/objects/jet1979-may3.jpg,/objects/small/,/objects/thumbs/,Scan of a color cover,
bfm-011,,"May 10, 1979",,jet1979-may10.jpg,New O.J. Movie Stars 10-Year Old Boxing Manager ,,JET Magazine,"Black print magazine,","Atlanta,GA",33.74880452,-84.3843379,The Stephens Family Archives,,Image;StillImage,image/jpeg,en,,,SK,image,/objects/jet1979-may10.jpg,/objects/small/,/objects/thumbs/,Scan of a color cover,
bfm-012,,"May 17, 1979",,jet1979-may17.jpg,Should Muhammad Ali Retire?,,JET Magazine,"Black print magazine,","Atlanta,GA",33.74880452,-84.3843379,The Stephens Family Archives,,Image;StillImage,image/jpeg,en,,,SK,image,/objects/jet1979-may17.jpg,/objects/small/,/objects/thumbs/,Scan of a color cover,
bfm-013,,"May 24, 1979",,jet1979-may24.jpg,Sammy's Newest Hobby: Cooking ,,JET Magazine,"Black print magazine,","Atlanta,GA",33.74880452,-84.3843379,The Stephens Family Archives,,Image;StillImage,image/jpeg,en,,,SK,image,/objects/jet1979-may24.jpg,/objects/small/,/objects/thumbs/,Scan of a color cover,
bfm-014,,"June 7, 1979",,jet1979-june7.jpg,Buffalo Soldiers: A TV Story That Makes Blacks Proud ,,JET Magazine,"Black print magazine,","Atlanta,GA",33.74880452,-84.3843379,The Stephens Family Archives,,Image;StillImage,image/jpeg,en,,,SK,image,/objects/jet1979-june7.jpg,/objects/small/,/objects/thumbs/,Scan of a color cover,
